Rk,Team,Conf,Div,W,L,W/L%,Margin_of_Victory,Offensive_Rating,Defensive_Rating,Net_Rating,Margin_of_Victory_Adjusted,Offensive_Rating_Adjusted,Defensive_Rating_Adjusted,Net_Rating_Adjusted,Scraped_Date
1,Oklahoma City Thunder,W,NW,53,12,0.815,12.58,119.67,107.17,12.5,12.47,119.52,107.14,12.38,2025-03-11
2,Cleveland Cavaliers,E,C,54,10,0.844,11.38,122.76,111.39,11.37,10.42,122.63,112.2,10.43,2025-03-11
3,Boston Celtics,E,A,47,18,0.723,8.71,120.38,111.29,9.09,8.26,120.24,111.61,8.63,2025-03-11
4,Memphis Grizzlies,W,SW,41,24,0.631,5.89,118.18,112.54,5.64,5.5,117.95,112.71,5.23,2025-03-11
5,Denver Nuggets,W,NW,42,23,0.646,4.83,120.45,115.75,4.7,4.81,120.45,115.77,4.68,2025-03-11
6,Minnesota Timberwolves,W,NW,37,29,0.561,3.59,115.54,111.81,3.73,4.32,115.83,111.37,4.46,2025-03-11
7,Houston Rockets,W,SW,40,25,0.615,3.98,113.88,110.1,3.78,4.57,114.16,109.79,4.37,2025-03-11
8,New York Knicks,E,A,41,23,0.641,4.47,119.22,114.75,4.47,3.9,119.23,115.33,3.91,2025-03-11
9,Golden State Warriors,W,P,37,28,0.569,2.26,114.41,112.15,2.26,2.57,114.61,112.06,2.55,2025-03-11
10,Los Angeles Clippers,W,P,35,29,0.547,2.16,112.71,110.52,2.19,2.32,112.43,110.08,2.35,2025-03-11
11,Los Angeles Lakers,W,P,40,23,0.635,1.71,115.27,113.53,1.74,1.52,115.02,113.47,1.54,2025-03-11
12,Milwaukee Bucks,E,C,36,27,0.571,2.11,114.74,112.63,2.11,1.45,114.76,113.29,1.47,2025-03-11
13,Sacramento Kings,W,P,33,31,0.516,1.45,116.64,115.12,1.53,1.15,116.47,115.26,1.21,2025-03-11
14,Detroit Pistons,E,C,36,29,0.554,1.58,114.02,112.46,1.55,1.19,113.84,112.66,1.18,2025-03-11
15,Dallas Mavericks,W,SW,33,33,0.5,0.33,115.7,115.31,0.38,0.96,115.76,114.76,1.0,2025-03-11
16,Indiana Pacers,E,C,35,28,0.556,0.98,116.16,115.09,1.08,0.35,116.05,115.61,0.44,2025-03-11
17,Miami Heat,E,SE,29,35,0.453,-0.5,112.54,113.1,-0.56,-0.93,112.43,113.39,-0.97,2025-03-11
18,Atlanta Hawks,E,SE,31,34,0.477,-2.42,113.2,115.42,-2.22,-2.24,113.12,115.15,-2.03,2025-03-11
19,San Antonio Spurs,W,SW,26,37,0.413,-2.44,114.15,116.52,-2.37,-2.22,114.29,116.46,-2.17,2025-03-11
20,Orlando Magic,E,SE,30,36,0.455,-1.79,108.03,109.87,-1.84,-2.29,107.63,109.97,-2.35,2025-03-11
21,Phoenix Suns,W,P,30,35,0.462,-2.03,116.39,118.44,-2.05,-2.32,116.34,118.69,-2.35,2025-03-11
22,Portland Trail Blazers,W,NW,28,38,0.424,-4.05,111.79,115.61,-3.82,-3.63,111.95,115.38,-3.43,2025-03-11
23,Chicago Bulls,E,C,27,38,0.415,-3.68,112.82,116.41,-3.59,-3.76,112.91,116.57,-3.66,2025-03-11
24,Toronto Raptors,E,A,22,43,0.338,-5.11,110.88,116.03,-5.15,-4.23,111.33,115.59,-4.26,2025-03-11
25,Philadelphia 76ers,E,A,22,42,0.344,-4.88,112.33,117.4,-5.07,-4.76,112.53,117.47,-4.94,2025-03-11
26,Brooklyn Nets,E,A,22,42,0.344,-6.34,109.04,115.48,-6.44,-6.31,109.13,115.55,-6.42,2025-03-11
27,Utah Jazz,W,NW,15,50,0.231,-7.25,112.25,119.58,-7.32,-6.79,112.37,119.25,-6.88,2025-03-11
28,New Orleans Pelicans,W,SW,17,48,0.262,-8.28,110.92,119.4,-8.48,-7.43,110.86,118.5,-7.64,2025-03-11
29,Charlotte Hornets,E,SE,16,48,0.25,-7.45,107.47,115.04,-7.58,-7.66,107.41,115.19,-7.78,2025-03-11
30,Washington Wizards,E,SE,13,50,0.206,-12.1,106.73,118.62,-11.9,-11.51,107.0,118.3,-11.3,2025-03-11
